clinic_id,clinic_name,location_address,phone,website
318_1,Southeast Georgia Health System Sleep Management Center,"3226 Hampton Avenue Suite H, Brunswick, GA 31520",N/A,https://www.sghs.org/locations/sleep-management-center-brunswick/
327_1,Neurology and Sleep Center,"301 4th Street Suite F, Alexandria, LA 71301",N/A,http://rapidesregional.com/physicians/profile/Mohammad-A-Zeibo-MD
329_1,Cenla Neurology,"2223 Worley Drive, Alexandria, LA 71301",318-473-0773,N/A
346_1,Spartanburg Regional MAIN Sleep Center,"101 East Wood Street, 6th Floor Main Campus, Spartanburg, SC 29303",864-560-9050,https://www.spartanburgregional.com/locations/spartanburg-regional-sleep-center-spartanburg-medical-center
353_1,Searcy Sleep and Mental Health,"916 E Race Avenue Suite A, Searcy, AR 72143, AR 72143",N/A,https://www.sleepcentersofarsearcy.com/
358_1,Sleep Centers of Arkansas LLC,"4509 E. McCain Boulevard 200, North Little Rock, AR 72117",N/A,http://www.medicsleepcare.com/
377_1,Owensboro Health Twin Lakes Medical Center Sleep Center,"908 Wallace Avenue Suite 202, Leitchfield, KY 42754",270-200-4536,https://www.owensborohealth.org/locations/profile/pulmonology-leitchfield?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link
383_1,Southeast Sleep Disorders Center of Hilton Head,"23 Main Street Suite 202, Hilton Head, SC 29926",N/A,http://www.selung.com/
394_1,Center for Sleep and Lung Disorders Inc,"918 Rolling Acres Road 1, Lady Lake, FL 32159",352-391-5500,N/A
436_1,"Dean Andrew L. Chesson, Jr. MD - Ochsner LSU Health Sleep Medicine Center","1801 Fairfield Avenue 400, Shreveport, LA 71101",318-626-0016,https://www.ochsnerlsuhs.org/?utm_source=ExtNet&utm_medium=Yext&y_source=1_MTU4MzEyMjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
474_1,UK Childrens Pediatric Sleep Center,"800 Rose Street PAV HA, Lexington, KY 40536",859-218-9399,https://ukhealthcare.uky.edu/locations/kentucky-childrens-tempur-sealy-pediatric-sleep-center
497_1,Institute of Sleep Medicine- East,"10916 Dylan Loren Circle, Orlando, FL 32825",N/A,https://floridasleepinstitute.com/
520_1,Sleep Center of Twin County Regional Hospital,"200 Hospital DR, Galax, VA 24333",276-236-1756,https://www.tcrh.org/sleep-center
538_1,Cornerstone Sleep Center,"1814 Westchester Drive 401, High Point, NC 27262",N/A,https://www.wakehealth.edu/locations/clinics/s/sleep-medicine-westchester?utm_source=GMB&utm_medium=Organic&utm_campaign=AHWFB
539_1,Jose Capellan,"3 Medical Center Boulevard, Lufkin, TX 75904",936-634-0527,N/A
542_1,Bluefield Pulmonary Consultants,"103 Westwood Commons, Bluefield, VA 24605",276-322-3947,http://www.bluefieldpulmonary.com/
549_1,"MCPC-22, LLC, DBA FirstHealth-Sandhills Neurologists","295 Olmsted Boulevard Suite 12, Pinehurst, NC 28374",910-235-0595,N/A
558_1,Sleep Diagnostic Service,"1 Children's Place Suite 9E-30, Saint Louis, MO 63110",N/A,https://www.bjc.org/locations/st-louis-childrens-hospital/?utm_source=yext&utm_medium=local_listing&utm_campaign=yext_listing
562_1,"Sleep Well Diagnostics Center, Inc.","1314 Oak Street  Melbourne, FL 32901",321-727-7992,http://independentlung.com/
568_1,Total Sleep Apnea Care,"1155 Mercer Street, Princeton, WV 24740",304-431-7000,N/A
593_1,Sleep Docs,"4 Memorial Drive, Suite 230, Alton, IL 62002",618-433-6616,https://www.bjc.org/locations/bjc-medical-group-sleep-medicine-at-alton?utm_source=yext&utm_medium=local_listing&utm_campaign=yext_listing
594_1,Dr. Rai & Dr. Gurung - Sleep Physicians,"4 Memorial Drive, Suite 230, Alton, IL 62002",N/A,https://www.bjc.org/provider/ajitesh-rai-1205883097?utm_source=yext&utm_medium=local_listing&utm_campaign=yext_listing
602_1,Springhill Center for Sleep Disorders,"4551 Springhill Jct, Terre Haute, IN 47802",812-235-1453,N/A
605_1,"SOMNAS, Part of the GenesisCare Network","126 Del Prado North, Cape Coral, FL 33904",N/A,https://millenniumphysician.com/location/cape-coral-126-del-prado-blvd-ste-104/
609_1,"MCPC-22, LLC, DBA FirstHealth-Sandhills Neurologists","101 Dennis Drive, Sanford, NC 27330",910-235-0595,https://www.firsthealth.org/specialties/more-services/sandhills-neurologists-a-firsthealth-clinic
612_1,"Gary Goldstein, MD-- PULMONARY CONSULTANTS","6 Jungerman Circle Suite 210, St Peters, MO 63376",636-441-6056,N/A
615_1,"Adams County Regional Medical Center, Sleep Disorders Center","230 Medical Center Drive, Seaman, OH 45679",937-386-3400,http://www.acrmcoh.com/
616_1,Rest Ensured Sleep Technologies,"6171 Childers Road, Barboursville, WV 25504",304-733-5380,https://www.drdebrastultz.com/
620_1,"Prana Health Pulmonary, Sleep, & Obesity Medicine","200 Forsythe Street, Fayetteville, NC 28304",910-824-7619,https://prana.healthcare/
622_1,Southern Ohio Medical Center-Sleep Diagnostic Center,"1735 27th Street 102, Portsmouth, OH 45662",740-356-8822,https://www.somc.org/locations/locations-profile/somc-sleep-medicine-associates/
630_1,NWAMC Mercy Clinic Sleep Medicine,"2708 Rife Medical Lane Suite 140, Rogers, AR 72758",N/A,N/A
637_1,Plantation Outpatient Sleep Disorders Center,"13601 Plantation Road 3, Fort Myers, FL 33912",N/A,https://www.leehealth.org/our-services/adult-sleep-medicine/sleep-disorders-center?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link
640_1,Florida Lung & Sleep Associates,"2625 Lee Boulevard, Lehigh Acres, FL 33971",239-369-3333,http://www.floridalung.com/
648_1,"Community Physician Network, Pulmonary and Critical Care","1550 East County Line Road, Suite 325, Indianapolis, IN 46227",N/A,https://fad.ecommunity.com/provider/Abboud+Kawak/193250
658_1,McCullough-Hyde Memorial Hospital Trihealth Sleep Disorders Center,"5151 Morning Sun Road Suite C, C, Oxford, OH 45056",N/A,http://www.trihealth.com/hospitals-and-practices/mccullough-hyde-memorial-hospital/
661_1,University of North Carolina Hospitals Sleep Disorders Center,"101 Manning Drive, First Floor, Chapel Hill, NC 27514",984-974-3294,https://www.unchealth.org/care-services/locations/unc-hospitals-neurology-and-sleep-center-unc-hospitals
684_1,Community Sleep Specialist - East,"8501 East 56th Street, Indianapolis, IN 46216",N/A,https://fad.ecommunity.com/specialty/Sleep%20Medicine?page=1
692_1,MU-CRMC Sleep Disorders Center,"1125 Madison Street, Jefferson City, MO 65102",N/A,https://www.jcmg.org/specialties/sleep-medicine/
695_1,NPMC Sleep Center Benson inside of NPMC Group,"325 S. Walton Avenue, Benson, NC 27504",919-894-1003,https://www.neurologyandpain.org/sleep-center
705_1,Community Sleep Specialist - North,"7250 Clearvista Drive, Suite 380, Indianapolis, IN 46256",N/A,https://fad.ecommunity.com/specialty/Sleep%20Medicine?page=1
710_1,Heart & Family Health Institute Sleep Disorders Center,"1700 SE Hillmoor Drive Suite 401, Port Saint Lucie, FL 34952",772-398-7936,https://heartandfamilyhealthinstitute.com/
717_1,"St. Vincent Heart Center of Indiana, LLC","10580 N. Meridian Street, Indianapolis, IN 46290",N/A,https://healthcare.ascension.org/locations/indiana/inasc/carmel-ascension-st-vincent-heart-center?utm_campaign=gmb&utm_medium=organic-search&utm_content=location-listing&utm_source=local
719_1,Apnix Sleep Diagnostics - Red Oak,"17115 Red Oak Drive 212, Houston, TX 77090",713-349-9767,https://apnix.com/
733_1,UT Physicians- Pediatrics Pulmonology,"6410 Fannin Street,  Suite 500, Houston, TX 77030",N/A,https://www.utphysicians.com/clinic/ut-physicians-pediatric-multispecialty-clinic-tmc/?utm_source=extnetwork&utm_medium=YextListings&utm_campaign=56590
734_1,Dr. Clarence Glenn Sleep Disorders Center,"2300 Edward Street Sleep Disorders Center, Decatur, IL 62526-9986",217-876-8121,https://memorial.health/decatur-memorial-hospital/overview/?y_source=1_MTU0MzQ4OTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
741_1,Center for Sleep & Wake Disorders,"1 Wyoming Street, Dayton, OH 45409",937-208-2515,https://www.premierhealth.com/services/sleep-disorders?utm_source=gmb&utm_medium=website&utm_campaign=kyruussoci
742_1,"Charleston Area Medical Center, Sleep Center Ripley","300 Claylick Road, Ripley, WV 25271",304-372-2848,http://camc.org/Sleep
757_1,Ali Sleep Center and Laboratory,"Mir Ali MD 706 Wilkins Street, Smithfield, NC 27577",N/A,https://alilungclinic.org/
759_1,The Sleep Disorders Center at Springfield Clinic,"1000 S. 6th Street PO Box 19248, Springfield, IL 62794-9248",N/A,https://www.springfieldclinic.com/our-locations/springfield-clinic-main-campus-west
764_1,Wright Patterson Sleep Lab,"Building 830 ATTN: 5E30002ER, Wright Patterson AFB, OH 45433",N/A,https://www.wpafb.af.mil/units/wpmc/index.asp
769_1,Carle Regional Sleep Disorders Center,"611 W Park Street, Urbana, IL 61801",N/A,https://carle.org/locations/carle-foundation-hospital
771_1,Community Physician Network Internal Medicine Care,"1601 Medical Arts Boulevard, Suite 201, Anderson, IN 46011",N/A,https://fad.ecommunity.com/specialty/Internal%20Medicine?page=1
773_1,"Community Physician Network, Pulmonary and Critical Care","1210 Medical Arts Boulevard, Suite 214, Anderson, IN 46011",N/A,https://fad.ecommunity.com/provider/naeem-zafar-malik/228495
782_1,Sweetwater Pulmonary & Sleep Disorder Center,"3511 Town Center Boulevard S 102, SUGAR LAND, TX 77479",281-491-1185,N/A
785_1,Sleep Care at Wayne Hospital,"835 Sweitzer Street, Greenville, OH 45331",N/A,https://www.waynehealthcare.org/
794_1,Sleep Trends Diagnostic Centers,"3142 Horizon Road Suite 205, Rockwall, TX 75032-7814",972-288-3471,http://www.mytexasallergy.com/
795_1,Sleep Disorders Center at Nelsonville,"11 John Lloyd Evans Memorial 500, Nelsonville, OH 45764",740-753-7323,https://www.ohiohealth.com/locations/sleep/ohiohealth-sleep-services-nelsonville/?utm_source=yext&utm_medium=listings&utm_campaign=websiteclicksfacility
812_1,Parkersburg Neurological Associates,"3803 Emerson Avenue, Parkersubrg, WV 26104",304-485-5041,https://wvumedicine.org/camden-clark/services/neurology/
835_1,SleepTrends of Plano LP,"3900 American Drive 203, Plano, TX 75075",N/A,https://sleepmedicinedfw.com/sleep-medicine-plano/
859_1,Sleep Disorders Center-Prosper,4200 W. University Drive Specialty Building,628-303-1300,https://www.cookchildrens.org/services/sleep-center/contacts-and-locations/sleep-prosper/?utm_source=google&utm_medium=OrganicSearch&utm_campaign=yext&y_source=1_MjAwOTM1MTEzNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
870_1,Sleep Care at Licking Memorial Hospital,"2000 Tamerack Road, Newark, OH 43055",N/A,https://www.lmhealth.org/Services-Facilities/Physician-Practices/Sleep-Medicine
886_1,C. Duane Morgan Sleep Disorders Center,"900 Main Street, 360, Peoria, IL 61602",309-672-5950,https://carle.org/
893_1,Ohio Health Van Wert Hospital Sleep Center,"140 Fox Road 109, Van Wert, OH 45891",419-232-5281,N/A
903_1,Miller School of Medicine/University Of Miami UHealth Sleep Program,"900 NW 17th Street, 520, Miami, FL 33136",305-243-9999,https://umiamihealth.org/treatments-and-services/sleep-medicine
905_1,Grand Health Care Consulting LLC DBA,"1717 N. Bayshore Drive 217, Miami, FL 33132",305-728-0505,http://www.grandhealthinstitute.com/
907_1,Carteret Health Sleep Diagnostic Center,"3500 Arendell Street, Morehead City, NC 28557",N/A,http://www.carterethealth.org/
911_1,ASI Neurology and Sleep Center,"1513 Johnson Avenue, Bridgeport, WV 26330",N/A,http://asidrs.com/
913_1,"RMG Pulmonology, Critical Care and Sleep Medicine","375 N. Wall Street Suite P410, Kankakee, IL 60901",N/A,https://www.riversidehealthcare.org/location/riverside-medical-group-pulmonology-specialists-kankakee
918_1,SVRMC Sleep Disorders Center,"727 N. Main Street, Emporia, VA 23847",N/A,https://www.bonsecours.com/locations/hospitals-medical-centers/richmond/southern-virginia-regional-medical-center
919_1,Sleep Center of River Park,"2550 River Park Plaza Drive 100, Fort Worth, TX 76116",817-731-1289,http://www.riverparkmedicalclinic.com/
954_1,University of Kansas Department of Neurology Sleep Medicine Clinic,4350 Shawnee Mission Parkway MS6002,N/A,https://www.kumc.edu/school-of-medicine/academics/departments/neurology.html
968_1,Tri-Cities Sleep Center (Petersburg),"261 Medical Park Boulevard, Petersburg, VA 23805",804-835-9748,N/A
977_1,North Kansas City Hospital Sleep Disorder Center Green Hills Road,"Suite 44, Kansas City, MO 64154-1903",816-691-5096,http://www.nkchealth.org/location/nkch-diagnostic-sleep-center
982_1,Sleep Improvement Center-Mercy Health Tiffin,"45 Street Lawrence Drive, Tiffin, OH 44883",419-455-7780,https://www.mercy.com/locations/specialty-locations/sleep-medicine-sleep-centers/mercy-health-tiffin-sleep-center
985_1,Advocate Sleep Health Center - Tinley Park,"18210 S. LaGrange Road 209, Tinley Park, IL 60487",N/A,https://care.advocatehealth.com/locations/advocate-sleep-center-orland-park
1001_1,Ascension Williamson Sleep Lab,"200 Bobcat Way, Willow Hall, Round Rock, TX 78665",512-324-4363,https://healthcare.ascension.org/locations/texas/txaus/round-rock-ascension-seton-williamson-sleep-center?utm_campaign=gmb&utm_medium=organic-search&utm_content=location-listing&utm_source=local
1008_1,Pediatric Sleep Medicine at Brook Road,"2924 Brook Road, Richmond, VA 23220",804-228-5818,https://www.chrichmond.org/services/pulmonary-medicine/sleep/sleep-clinic
1009_1,Crossroads Health Center PLLC,"4504 North Laurent, Victoria, TX 77901",361-573-9999,http://www.crossroadshealthcenter.net/
1012_1,Advocate Sleep Health Center- Palos Heights,"12340 S. Harlem Avenue, Palos Heights, IL 60463",N/A,https://care.advocatehealth.com/locations/advocate-sleep-center-palos-heights-il
