clinic_id,clinic_name,location_address
1169_1,Fairview Hospital,"18101 Lorain Avenue, Cleveland, OH 44111"
1176_1,Defiance Regional Hospital,"730 North Macomb Street, Suite 300, Monroe, MI 48162"
1251_1,Geauga Sleep Center,"100 Seventh Avenue Suite 225, Chardon, OH 44024"
1273_1,Premier Sleep Center,"1201 Seven Locks Road 111, Rockville, MD 20854"
1362_1,Manaf Seid-Arabi MD PC,"15945 19 Mile Road 106, Clinton Twp, MI 48038"
1395_1,OMG Sleep Center,"200 Health Park Drive, Owosso, MI 48867"
1431_1,Dream Land Sleep Lab,"844 Central Boulevard Suite 420, Brownsville, TX 78520"
1498_1,Advanced Pulmonary and Sleep Associates,"795 East Marshall Street Suite 304, West Chester, PA 19380"
1559_1,Persante Sleep Care,"200 East Park Drive Suite 600, Mt. Laurel, NJ 8054"
1638_1,JFK Neuroscience Sleep Center,"65 James Street, Edison, NJ 8820"
1654_1,UHS Sleep and Neurodiagnostic Center,"93 Pennsylvania Avenue, Binghamton, NY 13903"
1672_1,Cortland ENT & Sleep Lab,"865 Rte 13, Cortland, NY 13045"
1689_1,Sleep Medicine,"530 E 74th Street 16th Floor, New York, NY 10021"
1705_1,Sleep Disorders Center at Montefiore Medical Center,"111 E210th Street, Bronx, NY 10467"
1740_1,St. Josephs Center for Sleep Medicine,"4295 Hempsted Tpke, Bethpage, NY 11714"
1808_1,Sleep Medicine Associates,"25 Newell Road, Bristol, CT 1085"
1820_1,Sleep Disorders Center - Saint Francis Hospital & Medical Center,"114 Woodland Street, Hartford, CT 6105"
1925_1,COMMUNITY CLINICS,"1 Wallace Bashaw Jr Way, Newburyport, MA 1950"
2089_1,St Rose Sleep Disorders Center,"2847 St. Rose Parkway 140, Henderson, NV 89052"
2136_1,Nampa Sleep Clinic,"4400 E Flamingo Road Suite 302, Nampa, ID 83687"
2232_1,Sleep Disorders Center-Dublin,"6680 Regional Street, Suite 116 Sleep Disorders Center, Dublin, CA 94568"
2235_1,Sleep Disorders Center - Capitola,"815 Bay Avenue, Capitola, CA 95010"
2244_1,East Bay (Hayward) Sleep Medical Center,"27001 Calaroga Avenue 1, Hayward, CA 94542"
2255_1,Pinnacle Sleep and Wake Disorders Center,"6201 Summitview Avenue 106, Yakima, WA 98908"
2261_1,Pinnacle Healthcare Center Ellensburg,"2309 W. Dolarway Road Suite 2, Ellensburg, WA 98926"
2311_1,Sleep Disorders Clinic,"12303 NE 130th Lane, Suite 500, Kirkland, WA, 98034"
2313_1,Franciscan Neurology Associates,"1608 South J Street, 5th Floor, Tacoma, WA 98405"
45_1,NEARMC Sleep Disorders Center,"731 Leighton, Anniston, AL 36202"
68_1,North Florida Surgeons Northwest Florida ENT LLC,"310 Racetrack Road NW, Fort Walton Beach, FL 32547"
101_1,"Janice L Miles, DO, Pulmonary and Sl;eep Medicine","3418 Main Street, Moss Point, MS 39563"
452_1,Florida Sleep Disorder Center,"910 Oakfield Drive 101, Brandon, FL 33511"
505_1,The Sleep Center,"1921 Waldemere Street,  Suite 705, Sarasota, FL 34239"
627_1,Lehigh Pulmonary Associates d/b/a Florida Lung & Sleep Associates,"14651 Palm Beach Boulevard 105, Fort Myers, FL 33905"
646_1,UC Health West Chester Hospital Sleep Medicine Center,"7750 Discovery Drive, West Chester, OH 45069"
651_1,Mercy Health Fairfield Hospital Liberty Falls Sleep Center,"6770 Cincinnati-Dayton Road, Suite 204, Liberty Township, Ohio 45044"
652_1,Putnam Sleep Disorders Center,"300 Corporate Center Drive 346, Scott Depot, WV 25560"
685_1,Canton Sleep Disorders Center,"18780 Interstate 20, Canton, TX 75103"
698_1,Lakeside Sleep Center,"3000 W. Davis 2, Conroe, TX 77304"
701_1,CHI St. Luke's The Woodlands Sleep Center,"17350 St. Luke's Way MAC II 460, The Woodlands, TX 77384"
932_1,Lee's Summit Medical Center Sleep Disorders Center,"600 NW Murray Road, Suite 111, Lee's Summit, MO 64081"
1045_1,Baylor Scott & White Sleep Center - Cedar Park,"900 E Whitestone Boulevard, Cedar Park, TX 78613"
1073_1,Northwestern Sleep Disorders Center,"676 N. St. Clair Suite 7-701, Chicago, IL 60611"
1281_1,Sleep Disorders Center,"7400 Merton Minter Boulevard Mail Code 111E, San Antonio, TX 78229"
1416_1,Sleep Management Program,"2121 Old Gatesburg Road, State College, PA 16803"
1520_1,Penn Sleep Center Phoenixville,"826 Main Street, Suite 100, Phoenixville, PA 19460"
1612_1,Marshfield Medical Center Weston Sleep Lab,"3400 Ministry Parkway, Weston, WI 54476"
1635_1,Center for Sleep Medicine Eau Claire,"Wishart Building, 2nd Floor 1221 Whipple Street, Eau Claire, WI 54703"
1850_1,Roger Williams Sleep Disorders Center,"1539 Atwood Avenue 302, Johnston, RI 2919"
1943_1,Sonno Sleep Center (West),"2311 N. Mesa Building E, El Paso, TX 79902"
1962_1,York Hospital Center for Sleep Health,"15 Hospital Drive, York, ME 3909"
2040_1,Utah Valley Sleep Center,"1034 North 500 West, Provo, UT 84604"
2139_1,Sleep Wake Idaho PLLC,"210 W. Georgia Avenue 120, Nampa, ID 83686"
2145_1,Southern California Sleep Disorders Specialists,"13522 Newport Avenue Suite 102 Suite 210, Tustin, CA 92780"
2269_1,Mendocino Sleep Center,"620 S. Dora Street, Suite 102, Ukiah, CA 95482"
2316_1,Swedish Sleep Medicine/Cherry Hill,"550 17th Avenue Suite A-20, Seattle, WA 98122"
20852_1,Sleep Center At Pali Momi,"98-1079 Moanalua Road, 430, Aiea, HI 96701"
7_1,Southern Neurology and Sleep,"644 2nd Street  NE 101ST, Alabaster, AL 35007"
12_1,Somnium Sleep Physicians,"2321 John Hawkins Parkway 101, Birmingham, AL 35244"
27_1,DW McMillan Telemed Sleep Clinic,"1108 Douglas Avenue, Brewton, AL 36426"
47_1,Flowers Hospital Sleep-Wake Disorders Center,"4370 W. Main Street, Dothan, AL 36305"
66_1,The Lung Center/Dr. Hakim,"1026 Goodyear Avenue Suite 302, Gadsden, AL 35903"
85_1,Marshall Neurology Center,"95 Wall Street, Albertville, AL 35951"
170_1,Sleep Disorders Center at Lincoln Medical Center,"106 Medical Center Boulevard, Fayetteville, TN 37334"
187_1,"The Center For Pulmonary & Sleep Disorders, PLLC","1350 Mackey Branch Drive, Chattanooga, TN 37421"
204_1,Panola Medical Sleep Center,"303 Medical Center Drive, Batesville, MS 38606"
210_1,STHS Northlake Pulmonary Associates,"1203 S. Tyler Street,  Suite 200, Covington, LA 70433"
218_1,Physician's Sleep Diagnostics,"114 Monument Place Suite C Suite C, Vicksburg, MS 39180"
235_1,J&H Cheema LLC DBA/SCONO DME,"4232 Williams Boulevard 108, Kenner, LA 70065"
240_1,Memphis Lung Physician,"363 Southcrest Circle Suite 201, Southaven, MS 38671"
259_1,Horizon Sleep & Epilepsy Center,"340 Atoka McLaughlin Drive Suite C, Atoka, TN 38004"
301_1,Bluegrass Sleep Disorders Center PLLC,"101 W. 18th Street, Hopkinsville, KY 42240"
305_1,SleepWorks,"536 Old Howell Road, Greenville, SC 29615"
318_1,Southeast Georgia Health System Sleep Management Center,"3226 Hampton Avenue Suite H, Brunswick, GA 31520"
327_1,Neurology and Sleep Center,"301 4th Street Suite F, Alexandria, LA 71301"
329_1,Cenla Neurology,"2223 Worley Drive, Alexandria, LA 71301"
346_1,Spartanburg Regional MAIN Sleep Center,"101 East Wood Street, 6th Floor Main Campus, Spartanburg, SC 29303"
353_1,Searcy Sleep and Mental Health,"916 E Race Avenue Suite A, Searcy, AR 72143, AR 72143"
358_1,Sleep Centers of Arkansas LLC,"4509 E. McCain Boulevard 200, North Little Rock, AR 72117"
377_1,Owensboro Health Twin Lakes Medical Center Sleep Center,"908 Wallace Avenue Suite 202, Leitchfield, KY 42754"
383_1,Southeast Sleep Disorders Center of Hilton Head,"23 Main Street Suite 202, Hilton Head, SC 29926"
394_1,Center for Sleep and Lung Disorders Inc,"918 Rolling Acres Road 1, Lady Lake, FL 32159"
436_1,"Dean Andrew L. Chesson, Jr. MD - Ochsner LSU Health Sleep Medicine Center","1801 Fairfield Avenue 400, Shreveport, LA 71101"
474_1,UK Childrens Pediatric Sleep Center,"800 Rose Street PAV HA, Lexington, KY 40536"
497_1,Institute of Sleep Medicine- East,"10916 Dylan Loren Circle, Orlando, FL 32825"
520_1,Sleep Center of Twin County Regional Hospital,"200 Hospital DR, Galax, VA 24333"
538_1,Cornerstone Sleep Center,"1814 Westchester Drive 401, High Point, NC 27262"
539_1,Jose Capellan,"3 Medical Center Boulevard, Lufkin, TX 75904"
542_1,Bluefield Pulmonary Consultants,"103 Westwood Commons, Bluefield, VA 24605"
549_1,"MCPC-22, LLC, DBA FirstHealth-Sandhills Neurologists","295 Olmsted Boulevard Suite 12, Pinehurst, NC 28374"
558_1,Sleep Diagnostic Service,"1 Children's Place Suite 9E-30, Saint Louis, MO 63110"
562_1,"Sleep Well Diagnostics Center, Inc.","1314 Oak Street  Melbourne, FL 32901"
568_1,Total Sleep Apnea Care,"1155 Mercer Street, Princeton, WV 24740"
593_1,Sleep Docs,"4 Memorial Drive, Suite 230, Alton, IL 62002"
594_1,Dr. Rai & Dr. Gurung - Sleep Physicians,"4 Memorial Drive, Suite 230, Alton, IL 62002"
602_1,Springhill Center for Sleep Disorders,"4551 Springhill Jct, Terre Haute, IN 47802"
605_1,"SOMNAS, Part of the GenesisCare Network","126 Del Prado North, Cape Coral, FL 33904"
609_1,"MCPC-22, LLC, DBA FirstHealth-Sandhills Neurologists","101 Dennis Drive, Sanford, NC 27330"
612_1,"Gary Goldstein, MD-- PULMONARY CONSULTANTS","6 Jungerman Circle Suite 210, St Peters, MO 63376"
615_1,"Adams County Regional Medical Center, Sleep Disorders Center","230 Medical Center Drive, Seaman, OH 45679"
616_1,Rest Ensured Sleep Technologies,"6171 Childers Road, Barboursville, WV 25504"
620_1,"Prana Health Pulmonary, Sleep, & Obesity Medicine","200 Forsythe Street, Fayetteville, NC 28304"
622_1,Southern Ohio Medical Center-Sleep Diagnostic Center,"1735 27th Street 102, Portsmouth, OH 45662"
630_1,NWAMC Mercy Clinic Sleep Medicine,"2708 Rife Medical Lane Suite 140, Rogers, AR 72758"
637_1,Plantation Outpatient Sleep Disorders Center,"13601 Plantation Road 3, Fort Myers, FL 33912"
640_1,Florida Lung & Sleep Associates,"2625 Lee Boulevard, Lehigh Acres, FL 33971"
648_1,"Community Physician Network, Pulmonary and Critical Care","1550 East County Line Road, Suite 325, Indianapolis, IN 46227"
658_1,McCullough-Hyde Memorial Hospital Trihealth Sleep Disorders Center,"5151 Morning Sun Road Suite C, C, Oxford, OH 45056"
661_1,University of North Carolina Hospitals Sleep Disorders Center,"101 Manning Drive, First Floor, Chapel Hill, NC 27514"
684_1,Community Sleep Specialist - East,"8501 East 56th Street, Indianapolis, IN 46216"
692_1,MU-CRMC Sleep Disorders Center,"1125 Madison Street, Jefferson City, MO 65102"
695_1,NPMC Sleep Center Benson inside of NPMC Group,"325 S. Walton Avenue, Benson, NC 27504"
705_1,Community Sleep Specialist - North,"7250 Clearvista Drive, Suite 380, Indianapolis, IN 46256"
710_1,Heart & Family Health Institute Sleep Disorders Center,"1700 SE Hillmoor Drive Suite 401, Port Saint Lucie, FL 34952"
717_1,"St. Vincent Heart Center of Indiana, LLC","10580 N. Meridian Street, Indianapolis, IN 46290"
719_1,Apnix Sleep Diagnostics - Red Oak,"17115 Red Oak Drive 212, Houston, TX 77090"
733_1,UT Physicians- Pediatrics Pulmonology,"6410 Fannin Street,  Suite 500, Houston, TX 77030"
734_1,Dr. Clarence Glenn Sleep Disorders Center,"2300 Edward Street Sleep Disorders Center, Decatur, IL 62526-9986"
741_1,Center for Sleep & Wake Disorders,"1 Wyoming Street, Dayton, OH 45409"
742_1,"Charleston Area Medical Center, Sleep Center Ripley","300 Claylick Road, Ripley, WV 25271"
757_1,Ali Sleep Center and Laboratory,"Mir Ali MD 706 Wilkins Street, Smithfield, NC 27577"
759_1,The Sleep Disorders Center at Springfield Clinic,"1000 S. 6th Street PO Box 19248, Springfield, IL 62794-9248"
764_1,Wright Patterson Sleep Lab,"Building 830 ATTN: 5E30002ER, Wright Patterson AFB, OH 45433"
769_1,Carle Regional Sleep Disorders Center,"611 W Park Street, Urbana, IL 61801"
771_1,Community Physician Network Internal Medicine Care,"1601 Medical Arts Boulevard, Suite 201, Anderson, IN 46011"
773_1,"Community Physician Network, Pulmonary and Critical Care","1210 Medical Arts Boulevard, Suite 214, Anderson, IN 46011"
782_1,Sweetwater Pulmonary & Sleep Disorder Center,"3511 Town Center Boulevard S 102, SUGAR LAND, TX 77479"
785_1,Sleep Care at Wayne Hospital,"835 Sweitzer Street, Greenville, OH 45331"
794_1,Sleep Trends Diagnostic Centers,"3142 Horizon Road Suite 205, Rockwall, TX 75032-7814"
795_1,Sleep Disorders Center at Nelsonville,"11 John Lloyd Evans Memorial 500, Nelsonville, OH 45764"
812_1,Parkersburg Neurological Associates,"3803 Emerson Avenue, Parkersubrg, WV 26104"
835_1,SleepTrends of Plano LP,"3900 American Drive 203, Plano, TX 75075"
859_1,Sleep Disorders Center-Prosper,4200 W. University Drive Specialty Building
870_1,Sleep Care at Licking Memorial Hospital,"2000 Tamerack Road, Newark, OH 43055"
886_1,C. Duane Morgan Sleep Disorders Center,"900 Main Street, 360, Peoria, IL 61602"
893_1,Ohio Health Van Wert Hospital Sleep Center,"140 Fox Road 109, Van Wert, OH 45891"
903_1,Miller School of Medicine/University Of Miami UHealth Sleep Program,"900 NW 17th Street, 520, Miami, FL 33136"
905_1,Grand Health Care Consulting LLC DBA,"1717 N. Bayshore Drive 217, Miami, FL 33132"
907_1,Carteret Health Sleep Diagnostic Center,"3500 Arendell Street, Morehead City, NC 28557"
911_1,ASI Neurology and Sleep Center,"1513 Johnson Avenue, Bridgeport, WV 26330"
913_1,"RMG Pulmonology, Critical Care and Sleep Medicine","375 N. Wall Street Suite P410, Kankakee, IL 60901"
918_1,SVRMC Sleep Disorders Center,"727 N. Main Street, Emporia, VA 23847"
919_1,Sleep Center of River Park,"2550 River Park Plaza Drive 100, Fort Worth, TX 76116"
954_1,University of Kansas Department of Neurology Sleep Medicine Clinic,4350 Shawnee Mission Parkway MS6002
968_1,Tri-Cities Sleep Center (Petersburg),"261 Medical Park Boulevard, Petersburg, VA 23805"
977_1,North Kansas City Hospital Sleep Disorder Center Green Hills Road,"Suite 44, Kansas City, MO 64154-1903"
982_1,Sleep Improvement Center-Mercy Health Tiffin,"45 Street Lawrence Drive, Tiffin, OH 44883"
985_1,Advocate Sleep Health Center - Tinley Park,"18210 S. LaGrange Road 209, Tinley Park, IL 60487"
1001_1,Ascension Williamson Sleep Lab,"200 Bobcat Way, Willow Hall, Round Rock, TX 78665"
1008_1,Pediatric Sleep Medicine at Brook Road,"2924 Brook Road, Richmond, VA 23220"
1009_1,Crossroads Health Center PLLC,"4504 North Laurent, Victoria, TX 77901"
1012_1,Advocate Sleep Health Center- Palos Heights,"12340 S. Harlem Avenue, Palos Heights, IL 60463"
1021_1,Dr. David Atwell,"960 W. Wooster Street,  Suite 110, Bowling Green, OH 43402"
1023_1,Edward Yorkville Sleep Center,"88 W. Countryside Parkway B, Yorkville, IL 60560"
1029_1,Advocate Sleep Health Center-Chicago,"1111 E. 87th Street Suite 500, Chicago, IL 60617"
1035_1,DCMG Pediatric Pulmonology & Sleep Medicine,"6811 Austin Center Boulevard Suite 400, Austin, TX 78731"
1054_1,Adventist Hinsdale Hospital Sleep Disorders Center,"120 N. Oak Street, Hinsdale, IL 60521"
1065_1,"John H. Stroger, Jr. Hospital of Cook County Sleep Disorders Laboratory","1901 W. Harrison Street, Clinic T Rm 2818"
1089_1,"ALBRECHT HEYDER, MD","111 Medical Drive Suite A, Elizabeth City, NC 27909"
1102_1,UT Sleep Clinic,"2100 West Central Avenue Second Floor, Toledo, OH 43606"
1113_1,MWMG Sleep Specialist,"2216 Princess Anne Street, Suite 106, Fredericksburg, VA 22401"
1124_1,"RANA KHAN,MD","534 Caratoke Highway, Moyock, NC 27958"
1130_1,Pulmonology and Sleep Disorders,"634 SW Mulvane Street,  Suite 401, Topeka, KS 66606"
1148_1,Neurophysiology and Sleep Center At Winchester Neurological Consultants,"125 Medical Circle Suite A, Winchester, VA 22601"
1157_1,Hudson Express & Outpatient Care,"82 W Streetsboro Street ( Rt 303), Hudson, OH 44236"
1158_1,"UPMC Children's Hospital of Pittsburgh, Pediatric Sleep Evaluation Center","2619 Wexford Bayne Road, Sewickley, PA 15143"
1163_1,Tecumseh Herrick Hospital,"200 East Russell Road Suite C, Tecumseh, MI 49286"
1165_1,Parma Med Arts Ctr 1,"6681 Ridge Road Suite 205, Parma, OH 44129"
1181_1,Via Christi Sleep Disorders Center,"1151 N. Rock Road, Wichita, KS 67206"
1187_1,Sleep Disorders Center Veterans Affairs Medical Center,"5500 E. Kellogg, Wichita, KS 67218"
1204_1,Cleveland Clinic HSAT Center,"South Point Medical Office Building A 4200 Warrensville Center Road Suite 420, Warrensville Hts, OH 44122"
1245_1,"S. Talib Raza, PC","18025 Fort Street, Riverview, MI 48193-7432"
1252_1,University of Michigan Sleep Disorders Center at Domino's Farms,"24 Frank Lloyd Wright Drive Lobby L, Suite 1400, Ann Arbor, MI 48105"
1259_1,Mercy Walworth Sleep Disorders Center,"N2950 State Road 67, Lake Geneva, WI 53147"
1265_1,Physician's Clinic of Iowa Neurology and Sleep Medicine,"275 10th Street  SE Suite 3320, Cedar Rapids, IA 52403"
1289_1,Ascension Via Christi Sleep Services,"1823 College Avenue, Manhattan, KS 66502"
1290_1,"Medical Practices of Antietam, LLC, D/B/A Meritus Pulmonary Consultants","12821 Oak Hill Avenue, Hagerstown, MD 21742"
1295_1,"59th Medical Wing, San Antonio Military Health System (SAMHS) Sleep Disorders Center","1100 Wilford Hall Loop BLD 4554, Joint Base Lackland (AFB), TX 78236-5300"
1297_1,Sleep Disorders Center at Detroit Receiving Hospital,"Suite 5V, Detroit, MI 48201"
1298_1,Novi Sleep and Diagnostic Center,"39650 Orchard Hill Place 100, Novi, MI 48376"
1300_1,NCO Sleep Clinic,"3031 W Grand Boulevard, Detroit, MI 48202"
1304_1,Michigan Medicine Sleep Disorders Center BCSC,"7500 Challis Road 1581, Brighton, MI 48116"
1318_1,UMH Sparrow Pulmonary,"1200 E. Michigan Suite 415, Lansing, MI 48912"
1328_1,eastland sleep clinic/Tricounty sleep lab,"18161 East 8 Mile Road, Eastpointe, MI 48201"
1386_1,Michigan Lung and Critical Care Specialists Sleep Disorders Center,"9450 S. Saginaw Suite E, Grand Blanc, MI 48439"
1389_1,Memorialhealthcare Center Sleep Facility,"826 W. King Street, Owosso, MI 48867"
1392_1,Mid Michigan Center for Sleep Disorders,"8203 S.Saginaw Street, Suite A, Grand Blanc, MI 48439"
1393_1,Genesee Lung Associates,"8220 S. Saginaw Street,  Suite 800, Grand Blanc, MI 48439"
1398_1,Corwell Health Greenville Sleep Clinic,"705 S Greenville W Drive Suite 202, Greenville, MI 48838"
1421_1,Corwell Health Gerber Sleep Clinic,"230 W Oak Street,  Suite 100, Fremont, MI 49412"
1434_1,"Covenant Pulmonary, Critical Care, and Sleep Medicine","125 N. Colony Drive, Saginaw, MI 48638"
1466_1,Westroads Office Park,"1120 N 103rd Plaza, Omaha, NE 68114"
1470_1,VIPS Sleep Lab,"1200 E. Savannah Avenue Suite 12, Mcallen, TX 78503"
1472_1,Corewell Reed City Sleep Clinic,"225 N State Street, Reed City, MI 49677"
1489_1,Nemours Division of Sleep Medicine,"1600 Rockland Road, Wilmington, DE 19803"
1494_1,Sleep Disorder Center,"1100 S Van Dyke, Bad Axe, MI 48413"
1495_1,Penn Medicine at Westtown,"210 Willowbrook Lane, West Chester, PA 19382-8401"
1502_1,South Jersey Chest Disease,"525 State Street Suite 7, Elmer, NJ 08318-2164"
1510_1,Mayo Clinic Heath System - La Crosse - Sleep Disorders Center,"700 West Avenue South, La Crosse, WI 54601"
1522_1,The Children's Hospital of Philadephia King of Prussia,"550 S Goddard Boulevard 2064, King of Prussia, PA 19406"
1532_1,VISN 4 Eastern Regional Sleep Center,"Building 1, 4th Floor, Sleep Center 3900 WOODLAND Avenue, Philadelphia, PA 19104"
1542_1,Shore Physicians Group Pulmonary,"155 Medical Center Way, Somers Point, NJ 08244-2306"
1548_1,South Jersey Chest Disease,"107 Vine Street, Hammonton, NJ 08037-1447"
1573_1,Pulmonary & Sleep Physicians of NJ,"204 ARK Road, Mt. Laurel NJ, NJ 8054"
1594_1,Sleep and Wellness Centers of WNY,"38 Duncan Street, Suite 1, Warsaw, NY 14526"
1604_1,Covenant Neurology and Sleep Center,"3815 23rd Street, Lubbock, TX 79410"
1609_1,FHC Siouxland Sleep Center,"345 W Steamboat Drive 404, Dakota Dunes, SD 57049"
1631_1,Scott County Hospital Specialty Clinic,"201 Albert, Scott City, KS 67871"
1641_1,Monmouth Pulmonary Consultants,"30 Corbett Way, Eatontown, NJ 7724"
1645_1,Unity Sleep Medicine - Greece,"1561 Long Pond Road Suite 408, Rochester, NY 14626"
1665_1,Hastings/United Hospital Regina Campus,"1285 Nininger Road Suite 102, Hastings, MN 55033"
1674_1,St. Joseph's Wayne Pulmonary,"220 Hamburg Turnpike, Wayne, NJ 07470-2110"
1675_1,"Med Solutions, LLC","220 Hamburg Tpke Suite 19, Wayne, NJ 7470"
1679_1,Sleep Center MedSolutions,"542 E 29th Sreet, Paterson, NJ 7514"
1683_1,NYU Langone Preston Robert Tisch Center for Men’s Health Sleep Program,"555 Madison Avenue, 2nd Floor, New York, NY 10022"
1713_1,St. Paul/United Lung and Sleep Clinic,"225 Smith Avenue N Suite 501, St. Paul, MN 55102"
1725_1,"Northwell Pulmonary, Critical Care, and Sleep Medicine","410 Lakeville Road Suite 107, New Hyde Park, NY 11042"
1742_1,Optum Pulmonary and Sleep Medicine - Ossining,"310 N Highland Avenue Suite 4, Ossining, NY 10562-6300"
1744_1,SJH Pulmonary Heatlh Physicians,"7250 Janus Park Drive, Liverpool, NY 13088"
1745_1,Sleep Disorder Center @ St. Joseph's Health,"7246 Janus Park Drive 101, Liverpool, NY 13088"
1752_1,Avera St. Anthony's Hospital Sleep Facility,"300 N. 2nd Street, O'Neill, NE 68763"
1766_1,Nor Lea Sleep Lab,"1600 North Main, Lovington, NM 88260"
1773_1,The Sleep Center At MidHudson Regional Hospital of Westchester Medical Center,"1 Webster Avenue Atrium Building, Suite 202, Poughkeepsie, NY 12601"
1782_1,Advanced Physician Service,"27 Grand Street, Kingston, NY 12401"
1785_1,Sleep Center - Home Sleep Testing Clinic,"33 Germantown Road 3rd Floor, Danbury, CT 6810"
1825_1,DR. Khanna YNHH NEMG Sleep Medicine,"194 Howard Street, New London, CT 6320"
1827_1,Lawrence + Memorial Sleep Center,"224 Gold Star Highway, Groton, CT 6340"
1849_1,Sleep Disorders Center,"50 Leroy Street, Potsdam, NY 13676"
1862_1,UMass Memorial Sleep Medicine Services,"333 SW Cutoff, Northborough, MA 1532"
1869_1,Marlborough Center for Sleep Disorders,"320 Bolton Street, Suite 100, Marlborough, MA 1752"
1871_1,Avera St. Luke's Sleep Lab,"Avera St. Luke's Hospital, Aberdeen, SD 57401"
1898_1,Winchester Sleep and Pulmonary Center,"12 Alfred Street, Woburn, MA 1801"
1904_1,Dartmouth Hitchcock Sleep Disorders Center,"18 Old Etna Road, Lebanon, NH 3766"
1905_1,New England Sleep Center,"2280 Brown Avenue, Manchester, NH 3103"
1917_1,SLEEP LAB- HAVERHILL LOCATION,"600 Primrose Street, Haverhill, Ma 1830"
1927_1,Pulmonary Sleep and Allergy Consultants,"1512 Zaragoza Building B, El Paso, TX 79936"
1933_1,Sun City Sleep Center,"1316 N. Yarbrough Drive Suite 1-B, El Paso, TX 79925"
1953_1,Presbyterian Westside Sleep Disorders Center,"4100 High Resort, Rio Rancho, NM 87124"
1954_1,LMG Lovelace Medical Group Sleep Medicine,"2240 Grande Boulevard SE Suite 102, Rio Rancho, NM 87124"
1957_1,UCHMG Pulmonology and Sleep Medicine,"2121 East Harmony Road Suite 300, Fort Co, CO 80528"
1960_1,MountainView Pulmonary and Sleep Medicine,"4351 E. Lohman Avenue Suite 202, Las Cruces, NM 88011"
1972_1,American Sleep Centers. Inc.,"Hospital Federico Trilla UPR 1er Piso, Carolina, PR 00984"
1989_1,CCMH Sleep Center,"501 S. Burma Avenue Sleep Center, Gillette, WY 82716"
1995_1,CHI St Alexius Health Minot Medical Plaza (pick up and drop off location only),"2111 Landmark Circle, Minot, ND 58703"
2002_1,UBH Sleep Center,"250 W 300 N, Roosevelt, UT 84066"
2003_1,Billings Clinic Miles City Sleep Lab,"620 S. Haynes, Miles City, MT 59301"
2005_1,BUMCT Center For Sleep DIsorders,"1625 N Campbell Avenue, Tucson, AZ 85719"
2007_1,"ENTIRE SLEEP SOLUTIONS, LLC","130 S 63Rd Street Suite 110, Mesa, AZ 85206"
2008_1,NueroDiagnostic Laboratories,"6136 E Brown Road Suite 103, Mesa, AZ 85205"
2018_1,Chest and Sleep Disease Center,"255 S Dobson Road, Chandler, AZ 85224"
